ISIN,SYMBOL
INE116D01028,BAGFILMS
INE917I01010,BAJAJ-AUTO
INE933K01021,BAJAJCON
INE193E01025,BAJAJELEC
INE918I01018,BAJAJFINSV
INE306A01021,BAJAJHIND
INE118A01012,BAJAJHLDNG
INE296A01016,BAJFINANCE
INE794B01026,BALAJITELE
INE050E01027,BALAMINES
INE787D01026,BALKRISIND
INE294A01037,BALLARPUR
INE164A01016,BALMLAWRIE
INE083D01012,BALPHARMA
INE119A01028,BALRAMCHIN
INE459A01010,BANARISUG
INE213C01025,BANCOINDIA
INE863I01016,BANG
INE028A01013,BANKBARODA
INF732E01078,BANKBEES
INE084A01016,BANKINDIA
INE629D01012,BANSWRAS
INE855F01034,BARTRONICS
INE373A01013,BASF
INE186H01014,BASML
INE176A01010,BATAINDIA
INE177C01022,BATLIBOI
INE462A01022,BAYERCROP
INE464A01028,BBL
INE050A01017,BBTC
INE520H01014,BEARDSELL
INE287A01015,BECREL
INE844K01012,BEDMUTHA
INE263A01016,BEL
INE403A01026,BELLCERATL
INE258A01016,BEML
INE922A01025,BEPL
INE463A01020,BERGEPAINT
INE878K01010,BFINVEST
INE243D01012,BFUTILITIE
INE661I01014,BGRENERGY
INE797H01018,TGBHOTELS
INE458B01028,BHAGYNAGAR
INE465A01025,BHARATFORG
INE561C01019,BHARATGEAR
INE838B01013,BHARATRAS
INE397D01024,BHARTIARTL
INE673G01013,BHARATIDIL
INE257A01018,BHEL
INE824B01021,TATASTLBSL
INE828A01016,BIL
INE607L01011,BILENERGY
INE952D01018,BILPOWER
INE469A01019,BIMETAL
INE071A01013,BINANIIND
INE143A01010,OSWALGREEN
INE376G01013,BIOCON
INE340A01012,BIRLACORPN
INE655I01024,BIRLACOT
INE800A01015,BIRLACABLE
INE865C01022,BIRLAMONEY
INE224B01024,BIRLAPOWER
INE791A01024,BLBLIMITED
INE416D01022,BLISSGVS
INE350H01032,BLKASHYAP
INE657B01025,BLUECHIP
INE233B01017,BLUEDART
INE472A01039,BLUESTARCO
INE504B01011,BLUESTINFO
INE473A01011,LINDEINDIA
INE032A01015,BOMDYEING
INE323A01026,BOSCHLTD
INE029A01011,BPCL
INE110A01019,BPL
INE317J01011,BRANDHOUSE
INE589G01011,BRFL
INE791I01019,BRIGADE
INE216A01022,BRITANNIA
INE698H01018,BROADCAST
INE395A01016,BSELINFRA
INE594B01012,BSL
INF209K01HT2,BSLGOLDETF
INE043K01011,BSLIMITED
INE817H01014,BURNPUR
INE139I01011,BVCL
INE010B01019,CADILAHC
INE910H01017,CAIRN
INE526B01014,CALSOFT
INE692G01013,XCHANGING
INE760A01029,KOKUYOCMLN
INE476A01014,CANBK
INE874H01015,CANDC
INE477A01012,CANFINHOME
INE068L01016,CANTABIL
INE120A01026,CARBORUNIV
INE198A01014,CAROLINFO
INE172A01019,CASTROL
INE429I01024,CCCL
INE421D01014,CCL
INE482A01020,CEATLTD
INE209L01016,JWL
INE185H01016,CELEBRITY
INE221I01017,CELESTIAL
INE485A01015,CENTENKA
INE281A01026,CENTEXT
INE483A01010,CENTRALBK
INE320B01020,CENTUM
INE348B01021,CENTURYPLY
INE055A01016,CENTURYTEX
INE739E01017,CERA
INE486A01013,CESC
INE085A01013,CHAMBLFERT
INE479E01028,CHEMFALKAL
INE488A01027,CHEMPLAST
INE178A01016,CHENNPETRO
INE217C01018,CHESLINTEX
INE121A01016,CHOLAFIN
INE672K01017,CILNOVA
INE704H01014,CINEMAX
INE039B01026,CINEVISTA
INE059A01026,CIPLA
INE987C01024,CLASSIC
INE492A01029,HEUBACHIND
INE779B01019,CLUTCHAUTO
INE378J01013,CMAHENDRA
INE314A01017,CMC
INE522F01014,COALINDIA
INE259A01022,COLPAL
INE070C01029,COMPINFO
INE111A01017,CONCOR
INE025A01027,CONSOFINVT
INE108J01030,CORAL-HUB
INE792I01017,CORDSCABLE
INE247G01024,COREEDUTEC
INE169A01031,COROMANDEL
INE112A01015,CORPBANK
INE757A01017,COSMOFIRST
INE008I01026,COX&KINGS
INE521J01018,CAREERP
INE230B01021,CREATIVEYE
INE774A01012,CRESTANI
INE514G01019,CREWBOS
INE007A01017,CRISIL
INE067A01029,CGPOWER
INE592I01011,CRONIMET
INE627H01017,CTE
INE491A01021,CUB
INE144D01012,CUBEXTUB
INE298A01020,CUMMINSIND
INE117B01012,CURATECH
INE278G01037,CYBERMEDIA
INE214A01019,CYBERTECH
INE818H01012,DAAWAT
INE016A01026,DABUR
INE439L01019,DALMIABHA
INE495A01022,DALMIASUG
INE365B01017,DATAMATICS
INE950I01011,DBCORP
INE879I01012,DBREALTY
INE503A01015,DCBBANK
INE137G01027,DCHL
INE498A01018,DCM
INE499A01024,DCMSHRIRAM
INE500A01029,DCW
INE583C01013,DECCANCE
INE172I01012,DECOLIGHT
INE501A01019,DEEPAKFERT
INE288B01011,DEEPAKNTR
INE677H01012,DEEPENR
INE124G01033,DELTACORP
INE947J01015,DEN
INE077A01010,DENABANK
INE244A01016,DENORA
INE502A01017,DENSO
INE202B01012,DHFL
INE041A01016,DHAMPURSUG
INE680A01011,DHANBANK
INE406H01016,DHANUS
INE988C01014,DHARSUGAR
INE320L01011,DHUNINV
INE989C01012,DIAPOWER
INE303A01010,DICIND
INE471A01023,DIGJAM
INE353G01020,DISHMAN
INE836F01026,DISHTV
INE361B01024,DIVISLAB
INE271C01023,DLF
INE250K01012,DLINKINDIA
INE920A01011,DOLPHINOFF
INE668D01028,DONEAR
INE360C01016,DPSCLTD
INE477B01010,DVL
INE656K01010,DQE
INE506A01018,DREDGECORP
INE089A01023,DRREDDY
INE891A01014,DSKULKARNI
INE508A01014,DUNCANSIND
INE366A01033,DWARKESH
INE221B01012,DYNAMATECH
INE417B01032,DYNASYS
INE962C01027,EASTSILK
INE268C01029,EASUNREYRL
INE588B01014,ECEIND
INE738I01010,ECLERX
INE532F01054,EDELWEISS
INE180G01019,EDL
INE889J01019,EDSERV
INE216H01027,EDUCOMP
INE066A01013,EICHERMOT
INE126A01031,EIDPARRY
INE276C01014,EIHAHOTELS
INE230A01023,EIHOTEL
INE158B01016,EIMCOELECO
INE184H01027,EKC
INE975A01015,ELDERPHARM
INE205B01023,ELECON
INE086A01029,ELECTCAST
INE822G01016,ELECTHERM
INE158F01017,ELFORGE
INE285A01027,ELGIEQUIP
INE033C01019,ELNET
INE778K01012,EMAMIREAL
INE548C01032,EMAMILTD
INE078A01026,EMCO
INE296H01011,EMKAY
INE753K01015,EMMBI
INE928B01012,EMPEESUG
INE306C01019,ENERGYDEV
INE510A01028,ENGINERSIN
INE265F01028,ENIL
INE826A01028,ENTEGRA
INE039E01020,ERAINFRA
INE416L01017,EROSMEDIA
INE284A01012,ESABINDIA
INE042A01014,ESCORTS
INE481K01013,ESL
INE011A01019,ESSAROIL
INE282A01024,ESSARPORTS
INE825H01017,ESSDEE
INE255A01020,EPL
INE778B01029,ESTER
INE649H01011,EUROCERA
INE063J01011,EUROMULTI
INE022C01012,EUROTEXIND
INE128A01029,EVEREADY
INE295A01018,EVERESTIND
INE678H01010,EVERONN
INE961H01028,EVINIX
INE223G01017,EXCELCROP
INE369A01029,EXCELINDUS
INE688J01015,EXCEL
INE302A01020,EXIDEIND
INE188A01015,FACT
INE513A01014,SCHAEFFLER
INE886G01011,FAME
INE890I01035,FARMAXIND
INE688I01017,CAPF
INE512B01022,FCSSOFT
INE258B01022,FDC
INE249C01011,FEDDERELEC
INE171A01011,FEDERALBNK
INE737H01014,FIEMIND
INE111B01023,63MOONS
INE235A01022,FINCABLES
INE183A01016,FINPIPE
INE492B01019,FIRSTLEASE
INE315J01015,FIRSTWIN
INE575G01010,FKONCO
INE529A01010,FMGOETZE
INE061F01013,FORTIS
INE519A01011,FOSECOIND
INE218G01017,PALRED
INE684F01012,FSL
INF090I01049,FTCSF5YDIV
INE220J01017,FUTUREVENT
INE524A01029,GABRIEL
INE036B01022,GAEL
INE129A01019,GAIL
INE482J01013,GAL
INE297H01019,GALLANTT
INE528K01011,GALLISPAT
INE181G01025,AJRINFRA
INE259B01020,GAMMONIND
INE524B01027,GANDHITUBE
INE460C01014,GANESHHOUC
INE670B01028,GANGOTRI
INE526A01016,GARDENSILK
INE276A01018,GARFIBRES
INE152B01027,ACLGATI
INE852F01015,GDL
INE916G01016,GEECEE
INE599B01011,GEINDSYS
INE878C01033,GEMINI
INE727B01026,GENESYS
INE955D01029,GENUSPOWER
INE371D01029,GEODESIC
INE007B01023,GEOJITFSL
INE797A01021,GEOMETRIC
INE017A01032,GESHIP
INE539A01019,GHCL
INE289B01019,GICHSGFIN
INE047B01011,GILLANDERS
INE322A01010,GILLETTE
INE424C01010,GINNIFILA
INE162A01010,GIPCL
INE065J01016,TPHQ
INE346H01014,GITANJALI
INE265D01015,GKB
INE528A01020,GKWLIMITED
INE159A01016,GLAXO
INE935A01035,GLENMARK
INE540A01017,GLFL
INE792H01019,GLOBALVECT
INE446C01013,GLOBOFFS
INE615I01010,GLOBUSSPR
INE932G01021,GLODYNE
INE408H01012,GLORY
INE075D01018,GMBREW
INE131A01031,GMDCLTD
INE776C01039,GMRINFRA
INE113A01013,GNFC
INE426D01013,GOACARBON
INE260B01010,GODFRYPHLP
INE102D01028,GODREJCP
INE233A01035,GODREJIND
INE484J01019,GODREJPROP
INE516K01016,GOENKA
INE887G01027,GOKEX
INE020J01029,GOKUL
INF732E01102,GOLDBEES
INE973A01010,GOLDENTOBC
INE025B01017,GOLDIAM
INE260D01016,OLECTRA
INF789F01059,GOLDSHARE
INE805A01014,GOLDTECH
INE177H01013,GPIL
INE517F01014,GPPL
INE012D01011,GRABALALK
INE101D01012,GRANULES
INE371A01025,GRAPHITE
INE047A01013,GRASIM
INE024L01019,GRAVITA
INE224A01026,GREAVESCOT
INE461C01020,GREENPLY
INE999K01014,GREENPOWER
INE536A01023,GRINDWELL
INE580B01011,GRUH
INE026A01017,GSFC
INE264A01014,GSKCONS
INE787A01022,GSLNOVA
INE246F01010,GSPL
INE871H01011,GSS
INE043A01012,GTL
INE221H01019,GTLINFRA
INE537A01013,GTNIND
INE302H01017,GTNTEX
INE892H01017,GTOFFSHORE
INE742B01025,GUFICBIO
INE186A01019,GUJALKALI
INE826C01016,GUJAPOLLO
INE538A01037,GFLLIMITED
INE110D01013,GUJNRECOKE
IN9110D01011,GUJNREDVR
INE374A01029,GUJRATGAS
INE542A01013,GUJSIDHCEM
INE077F01027,GULFOILCOR
INE251H01024,GVKPIL
INE455B01016,PHOENIXLL
INE648H01013,HANUNG
INE939D01015,HARITASEAT
INE544A01019,HARRMALAYA
INE982F01028,HATHWAY
INE176B01026,HAVELLS
INE292B01021,HBLPOWER
INE550B01014,HBSTOCK
INE549A01026,HCC
INE019C01026,HSCL
INE236A01020,HCL-INSYS
INE860A01027,HCLTECH
INE001A01036,HDFC
INE040A01018,HDFCBANK
INF179K01CN1,HDFCMFGETF
INE191I01012,HDIL
INE545A01016,HEG
INE578A01017,HEIDELBERG
INE674B01012,HELIOSMATH
INE688E01024,HERCULES
INE978A01019,HERITGFOOD
INE158A01026,HEROMOTOCO
INE093A01033,HEXAWARE
INE548A01028,HFCL
INE170I01016,HGS
INE475B01014,HIKAL
INE788H01017,HILTON
INE049A01027,HIMATSEIDE
INE038A01020,HINDALCO
INE310C01011,HINDCOMPOS
INE531E01026,HINDCOPPER
INE551A01022,HINDDORROL
INE253A01025,HINDMOTORS
INE952A01022,HINDNATGLS
INE345A01011,HINDOILEXP
INE094A01015,HINDPETRO
INE291F01016,HINDUJAFO
INE353A01023,NDLVENTURE
INE030A01027,HINDUNILVR
INE267A01025,HINDZINC
INE835D01023,HIRECT
INE782A01015,JCHAC
INE127B01011,HITECHGEAR
INE120D01012,HITECHCORP
INE262A01018,HMT
INE871K01015,HMVL
INF732E01227,HNGSNGBEES
INE048A01011,HOCL
INE671A01010,HONAUT
INE634A01018,HONDAPOWER
INE940H01014,PGIL
INE429F01012,SKIL
INE102A01024,HLVLTD
INE275F01019,UNIVAFOODS
INE596H01014,HOVS
INE415A01038,AGI
INE501G01024,HTMEDIA
INE557A01011,HIL
INE473D01015,KINGFA
INE886H01027,TV18BRDCST
INE399K01017,RTNPOWER
INE069I01010,EMBDL
INE274G01010,DHANI
INE090A01013,ICICIBANK
INE483B01018,ICIL
INE725G01011,ICRA
INE306B01029,ICSA
INE008A01015,IDBI
INE669E01016,IDEA
INE043D01016,IDFC
INE076C01018,IFBAGRO
INE559A01017,IFBIND
INE039A01010,IFCI
INE023B01012,IFGLREFRAC
INE188B01013,IGARASHI
INE203G01019,IGL
INE204A01010,IGPL
INE886A01014,IITL
INE369I01014,IL&FSENGG
INE975G01012,IL&FSTRANS
INE919H01018,IMFA
INE547E01014,IMPAL
INE691G01015,IMPEXFERRO
INE841B01017,INDBANK
INE053A01029,INDHOTEL
INE894F01025,INDIABULLS
INE383A01012,INDIACEM
INE560A01015,INDIAGLYCO
INE530B01024,IIFL
INE562A01011,INDIANB
INE061A01014,INDIANCARD
INE323C01030,INDIANHUME
INE065B01013,INDLMETER
INE092B01017,INDNIPPON
INE076H01017,EONELECT
INE873D01016,INDOCO
INE156A01020,INDORAMA
INE866K01015,INDOSOLAR
INE332H01014,INDOTECH
INE227G01018,INDOWIND
INE681B01017,INDRAMEDCO
INE915B01019,INDSWFTLAB
INE788B01028,INDSWFTLTD
INE611L01013,INDTERRAIN
INE025I01012,INDUSFILA
INE095A01012,INDUSINDBK
INE189B01011,STYRENIX
INE486J01014,INFINITE
INE804D01011,INFODRIVE
INE669A01022,INFOMEDIA
INE009A01021,INFY
INE136B01020,CYIENT
INF732E01268,INFRABEES
INE177A01018,INGERRAND
INE166A01011,INGVYSYABK
INE549I01011,INNOIND
INE312H01016,INOXLEISUR
INE070I01018,INSECTICID
INE565A01014,IOB
INE242A01010,IOC
INE485C01011,IOLCP
INE517C01011,IOLN
INE571A01020,IPCALAB
INF109K01FV4,IGOLD
INE558A01019,IPRINGLTD
INE821I01014,IRB
INE566K01011,ISFT
INE732F01019,ISMTLTD
INE136A01022,JSWISPAT
INE154A01025,ITC
INE686A01018,ITDCEM
INE248A01017,ITI
INE050B01023,IVC
INE043C01018,IVP
INE414I01018,IVRCLAH
INE875A01025,IVRCLINFRA
INE168A01017,J&KBANK
INE199G01027,JAGRAN
INE048B01027,JAGSNPHARM
INE091G01018,JAIBALAJI
INE070D01027,JAICORPLTD
INE486B01011,JAINSTUDIO
INE039C01016,JAMNAAUTO
INE785A01026,JAYAGROGN
INE571B01028,JAYBARMARU
INE854B01010,JAYNECOIND
INE364A01020,JAYSREETEA
INE572A01028,JBCHEPHARM
INE187A01017,JBFIND
INE927D01010,JBMA
INE264B01020,JCTEL
INE819B01021,JENSONICOL
INE802G01018,JETAIRWAYS
INE544H01014,JHS
INE026B01049,JIKIND
INE796G01012,JINDALPHOT
INE197D01010,JINDALPOLY
INE324A01024,JINDALSAW
INE749A01030,JINDALSTEL
INE824G01012,JSWHL
INE904J01016,JINDCOT
INE742C01031,JINDRILL
INE247D01013,JINDWORLD
INE175A01038,JISLJALEQS
INE823G01014,JKCEMENT
INE576I01014,JKIL
INE786A01032,JKLAKSHMI
INE789E01012,JKPAPER
INE573A01034,JKTYRE
INE890A01016,JMCPROJECT
INE780C01023,JMFINANCIL
INE988E01010,JMTAUTOLTD
INE839G01010,JOCIL
INE455F01025,JPASSOCIAT
INE099J01015,JPINFRATEC
INE351F01018,JPPOWER
INE220G01021,JSL
INE121E01018,JSWENERGY
INE019A01020,JSWSTEEL
INE700A01033,JUBLPHARMA
INE797F01012,JUBLFOOD
INE645L01011,JUBLINDS
INE699D01015,JUMBO
INF732E01045,JUNIORBEES
INE918B01013,JUPITER
INE430G01026,JVLAGRO
INE668F01031,JYOTHYLAB
INE197A01024,JYOTISTRUC
INE900B01029,KABRAEXTRU
INE217B01028,KAJARIACER
INE437B01014,KAKATCEM
INE793A01012,ACCELYA
INE178D01010,KALINDEE
INE220B01022,KPIL
INE967C01018,KAMATHOTEL
INE292D01019,KANDAGIRI
INE138C01024,KANORICHEM
INE531A01016,KANSAINER
INE727F01019,KARURKCP
INE036D01010,KARURVYSYA
INE234I01010,KAUSHALYA
INE641C01019,KAVVERITEL
INE920K01010,KBIL
INE805C01028,KCP
INE790B01024,KCPSUGIND
INE389H01022,KEC
INE134B01017,KECL
INE878B01027,KEI
INE990B01012,KEMROCK
INE202H01019,KERNEX
INE133B01019,KESARENT
INE087A01019,KESORAMIND
INE438H01019,KFA
INE299C01024,KGL
INE761A01019,KHAITANELE
INE731C01018,KHAITANLTD
INE060B01014,KHANDSE
INE029L01018,KICL
INE390H01012,KAMDHENU
INE729D01010,KILITCH
INE267B01015,KINETICMOT
INE415I01015,KIRIINDUS
INE732A01036,KIRLOSBROS
INE146L01010,KIRLOSENG
INE250A01039,KIRLOSIND
INE147B01019,KITPLYIND
INE401H01017,KKCL
INE799A01019,KLGSYSTEL
INE014E01015,KLRF
INE157H01023,KMSUGAR
INE634I01011,KNRCON
INE080B01012,KOHINOOR
INE094I01018,KOLTEPATIL
INE746A01010,KOPDRUGS
INE082A01010,KOPRAN
INE237A01028,KOTAKBANK
INF373I01015,KOTAKGOLD
INF174K01518,KOTAKNIFTY
INF373I01023,PSUBANK
INE419A01022,KOTARISUG
INE720A01015,KOTHARIPET
INE823A01017,KOTHARIPRO
INE406I01014,KOUTONS
INE177F01017,KOVAI
INE836A01035,BSOFT
INE930H01015,KPRMILL
INE001B01026,KRBL
INE409C01011,KRISHNAENG
INE999A01015,KSB
INE455I01011,KSCL
INE953E01014,KSE
INE216D01018,KSERASERA
INE143H01015,KSK
INE907A01026,KSL
INE727D01022,KSOILS
INE614B01018,KTKBANK
INE775B01025,KWALITY
INE651C01018,LAKPRE
INE992B01026,LAKSHMIEFL
INE938C01019,LAKSHMIMIL
INE694C01018,LAKSHVILAS
INE943C01027,SRIPIPES
INE059D01012,LAOPALA
INE269B01029,LAXMIMACH
INE938A01021,LCCINFOTEC
INE337A01034,LGBBROSLTD
INE201J01017,LGBFORGE
INE557B01019,LIBERTSHOE
INE115A01026,LICHSGFIN
INF732E01037,LIQUIDBEES
INE785C01048,LITL
INE245C01019,LEEL
INE174A01015,LLOYDFIN
INE292A01015,UTTAMVALUE
INE862A01015,LML
INE848A01014,IZMO
INE397H01017,LOKESHMACH
INE947I01017,LOTUSEYE
INE597L01014,LOVABLE
INE197J01017,LPDC
INE018A01030,LT
INE547G01019,LUMAXAUTO
INE162B01018,LUMAXIND
INE872H01019,LUMAXTECH
INE326A01037,LUPIN
INE933A01014,LYKALABS
INE101A01026,M&M
INE774D01016,M&MFIN
INF247L01023,MOM100
INF247L01015,M50
INE215I01019,MAANALU
INE925C01016,MADHAV
INE378D01032,MADHUCON
INE331A01037,RAMCOCEM
INE414A01015,MADRASFERT
INE511C01022,POONAWALLA
INE387I01016,MAGNUM
INE457A01014,MAHABANK
INE536H01010,CIEINDIA
INE850A01010,MAHINDUGIN
INE813A01018,MAHLIFE
INE288A01013,MAHSCOOTER
INE271B01025,MAHSEAMLES
INE383H01017,MALUPAPER
INE272B01015,MALWACOTT
INE015D01022,MANAKSIA
INE201A01024,MANALIPETC
INE522D01027,MANAPPURAM
INE087J01010,MANDHANA
INE584F01014,MANGALAM
INE558B01017,MANGCHEFER
INE347A01017,MANGLMCEM
INE805B01012,MANGTIMBER
INE993A01026,MANINDS
INE949H01015,MANINFRA
INE320D01018,MANJEERA
INE435H01015,MANJUSHREE
INE867A01022,MANUGRAPH
INE882A01013,MARALOVER
INE941E01019,MARG
INE196A01026,MARICO
INE750C01026,MARKSANS
INE585B01010,MARUTI
INE759A01021,MASTEK
INE636A01039,MAWANASUG
INE180A01020,MFSL
INE450G01024,VIPCLOTHNG
INE748A01016,MBECL
INE912H01013,MBLINFRA
INE836H01014,MCDHOLDING
INE854D01016,MCDOWELL-N
INE942G01012,MCLEODRUSS
INE933B01012,MEGASOFT
INE974H01013,MEGH
INE199A01012,PGHL
INE998I01010,MHRIL
INE287C01029,MIC
INE019J01013,SASTASUNDR
INE358B01012,MICROTECH
INE405E01015,MINDAIND
INE018I01017,MINDTREE
INE831A01028,MIRCELECTR
INE771A01026,MIRZAINT
INE934B01028,MERCATOR
INE227C01017,MMFL
INE180C01018,CGCL
INE123F01029,MMTC
INE490G01020,MOIL
INE743C01013,MONNETISPA
INE274B01011,MONSANTO
INE161G01019,MORARJETEX
INE083A01026,MOREPENLAB
INE739A01015,MOSERBAER
INE775A01035,MOTHERSON
INE338I01027,MOTILALOFS
INE861B01015,MOTOGENFIN
INE356A01018,MPHASIS
INE943D01017,MPSLTD
INE883A01011,MRF
INE398B01018,MRO-TEK
INE103A01014,MRPL
INE752G01015,MSPL
INE153A01019,MTNL
INE311H01018,ELAND
INE022B01014,MUKANDENGG
INE304A01026,MUKANDLTD
INE374B01019,MUKTAARTS
INE742F01042,ADANIPORTS
INE672B01024,MUNJALAU
INE577A01027,MUNJALSHOW
INE806B01028,MURLIIND
INE692B01014,MURUDCERA
INE414G01012,MUTHOOTFIN
INE744I01034,MVL
INE141B01020,NOESISIND
INE651A01020,MYSOREBANK
INF247L01031,MON100
INE580A01013,NAGARFERT
INE245I01016,NAGREEKCAP
INE123B01028,NAGREEKEXP
INE049I01012,NAHARCAP
INE289A01011,NAHARINDUS
INE308A01027,NAHARPOLY
INE290A01027,NAHARSPING
INE875G01022,NANDAN
INE987B01018,NATCOPHARM
INE139A01034,NATIONALUM
INE088B01015,NATNLSTEEL
INE663F01024,NAUKRI
INE048G01018,NAVINFLUOR
INE060A01024,NAVNETEDUL
INE725A01022,NAVA
INE868B01028,NCC
INE732C01016,NCLIND
INE155G01029,NDTV
INE023H01027,NECLIFE
INE874D01022,NEHAINT
INE189I01016,NELCAST
INE045B01015,NELCO
INE695B01025,COUNCODOS
INE588A01016,NEPCMICON
INE317F01027,NESCO
INE239A01016,NESTLEIND
INE553E01012,NET4
INE870H01013,NETWORK18
INE794A01010,NEULANDLAB
INE747B01016,NEXTMEDIA
INE589A01014,NLCINDIA
INE870D01012,NFL
INE848E01016,NHPC
INE241C01026,NICCO
INF732E01011,NIFTYBEES
INE161A01038,NIITLTD
INE591G01017,COFORGE
INE310A01015,NILKAMAL
INE567A01010,NIPPOBATRY
INE846H01021,NISSAN
INE858F01012,NITCO
INE639K01016,NITESHEST
INE489H01020,NITINFIRE
INE229H01012,NITINSPIN
INE584A01023,NMDC
INE163A01018,NOCIL
INE781B01015,NOIDATOLL
INE296D01010,NOL
INE369C01017,NORBTEAEXP
INE217G01019,NORTHGATE
INE460B01016,NOVOPANIND
INE349A01021,NRBBEARING
INE953C01018,NRC
INE023A01030,NSIL
INE733E01010,NTPC
INE946A01016,NUCHEM
INE096B01018,NUCLEUS
INE409B01013,SWELECTES
INE318J01027,NUTEK
INE093I01010,OBEROIRLTY
INE290B01025,OCL
INE881D01027,OFSS
INE274J01014,OIL
INE591A01010,OILCOUNTUB
INE196J01019,OISL
INE090B01011,OMAXAUTO
INE800H01010,OMAXE
INE474L01016,OMKARCHEM
INE239D01028,OMINFRAL
INE810H01019,OMNITECH
INE213A01029,ONGC
INE809I01019,ONMOBILE
INE229A01017,ONWARDTEC
INE808B01016,OPTOCIRCUI
INE628H01015,ORBITCORP
INE191A01019,ORCHIDPHAR
INE569C01020,ORIENTCER
INE998H01012,ORIENTALTL
INE141A01014,ORIENTBANK
INE607D01018,ORIENTBELL
INE750A01020,ORIENTHOT
INE609C01024,ORIENTLTD
INE592A01026,ORIENTPPR
INE725E01016,ORISSAMINE
INE469B01017,OSWALMIN
INE594A01014,OUDHSUG
INE766A01018,PAEL
INE761H01022,PAGEIND
INE922B01023,PANACEABIO
INE841C01015,PANASONIC
INE013E01017,PANCARBON
INE194B01029,PANORAMUNI
INE623B01027,FEL
INE275B01026,HUHTAMAKI
INE618H01016,PARABDRUGS
